編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,月線+DI(1),月線RSI(4),日線威廉(50),日線RSI(60),週線VR(2),月線VR(2)
109,2816,旺旺保,金融保險,38.75,-1.02,10.45,29.39,-23.99,-2.99,45.98,1608,46.25,39.15,35.08,29.95,0.0,90.32,26.99,62.02,256.61,438.58
110,2885,元大金,金融保險,69.7,-1.27,9.11,49.38,-10.3,62.33,75.6,-15503,72.58,70.6,63.88,46.66,47.85,94.38,9.02,61.46,254.72,28.4
111,2851,中再保,金融保險,45.5,-0.33,17.18,53.25,-41.98,-49.78,19.21,8049,59.7,45.65,38.83,29.69,0.0,87.42,19.29,62.41,173.38,410.76
112,2905,三商,貿易百貨,18.05,-1.1,12.32,22.2,-94.92,-94.23,-17.74,4406,19.49,18.25,16.07,14.77,13.65,82.84,10.84,60.48,223.36,9999.0
113,2882,國泰金,金融保險,110.5,-2.64,9.35,40.53,-22.2,-31.87,8.78,27932,128.5,113.5,101.05,78.63,66.67,92.02,26.53,59.42,234.58,611.06
114,2607,榮運,航運業,53.5,0.56,9.96,4.62,9.62,40.6,4.4,613,57.65,53.2,48.65,51.14,23.53,73.62,5.75,58.33,646.98,9999.0
115,2606,裕民,航運業,79.7,2.44,20.21,31.85,2.88,26.34,25.09,30478,90.1,77.8,66.3,60.45,6.94,82.15,1.44,59.97,9999.0,9999.0
116,2892,第一金,金融保險,37.8,-0.13,13.23,29.23,7.39,3.04,11.42,285782,41.25,37.85,33.38,29.25,90.32,88.46,4.12,65.64,9999.0,25.88
117,2612,中航,航運業,65.0,1.56,16.97,16.82,7.43,18.3,7.47,4337,72.8,64.0,55.57,55.64,0.0,76.95,4.91,58.15,9999.0,9999.0
118,2852,第一保,金融保險,28.05,0.0,3.09,8.59,10.96,44.98,27.13,2439,31.4,28.05,27.21,25.83,0.0,80.03,50.0,56.26,205.24,840.06
119,5607,遠雄港,航運業,55.8,1.64,10.43,16.08,-5.6,33.5,35.53,6904,63.85,54.9,50.53,48.07,1.43,77.62,21.05,57.31,337.31,9999.0
120,4961,天鈺,電子工業,177.0,-0.28,7.41,17.21,7.25,50.15,6.89,1511,182.5,177.5,164.8,151.01,15.79,76.54,14.81,54.48,9999.0,9999.0
121,2845,遠東銀,金融保險,13.55,-1.09,6.48,11.88,-10.71,5.07,13.62,79993,14.75,13.7,12.72,12.11,76.59,83.86,15.77,60.37,434.06,251.04
122,2915,潤泰全,貿易百貨,57.4,0.0,7.29,14.8,-41.22,-18.52,-32.4,5615,70.0,57.4,53.5,50.0,0.0,79.25,36.4,57.49,304.24,9999.0
123,4971,IET-KY,半導體業,621.0,2.64,26.72,45.77,0.91,33.03,21.02,-2034,828.5,605.0,490.07,426.02,83.21,60.41,25.61,53.44,437.7,9999.0
124,4977,眾達-KY,電子工業,170.5,-1.45,12.0,11.23,120.25,136.63,-7.01,-2530,226.0,173.0,152.23,153.29,65.35,54.56,22.49,51.07,227.97,9999.0
125,5515,建國,建材營造,52.4,0.58,15.58,50.56,-0.87,30.84,16.55,1691,68.5,52.1,45.33,34.8,0.0,96.7,24.24,62.92,49.1,9999.0
126,2357,華碩,電腦及週邊設備業,979.0,1.14,20.68,53.59,12.87,51.17,42.75,14869,1113.0,968.0,811.26,637.4,6.76,83.49,13.14,60.74,192.11,285.3
127,2351,順德,半導體業,237.5,4.4,24.14,85.73,9.42,60.84,24.61,4791,309.0,227.5,191.31,127.87,0.0,73.38,7.67,58.15,40.88,9999.0
128,2303,聯電,電子工業,141.5,3.28,3.19,70.82,5.04,30.71,13.25,-4671,144.0,137.0,137.12,82.84,65.12,68.97,41.01,55.05,293.0,9999.0
129,2434,統懋,電子工業,60.9,-1.3,6.74,63.61,-53.04,-17.44,10.47,-849,83.2,61.7,57.05,37.22,77.24,91.29,69.7,54.69,513.32,197.16
130,2362,藍天,電腦及週邊設備業,48.3,1.58,6.64,20.44,10.9,12.1,8.33,565,52.75,47.55,45.29,40.1,0.0,86.86,30.7,54.54,269.57,9999.0
131,2419,仲琦,電子工業,27.2,1.87,4.09,-0.81,202.53,245.59,20.39,-1613,29.4,26.7,26.13,27.42,87.5,50.37,38.1,49.84,9999.0,9999.0
132,2413,環科,電子零組件業,50.5,9.9,14.08,25.11,7.34,19.79,14.36,-1662,49.63,45.95,44.27,40.37,45.1,63.65,0.0,53.63,9999.0,9999.0
133,2454,聯發科,電子工業,4625.0,-1.8,16.26,88.38,-16.44,12.16,3.21,4888,4620.0,4710.0,3978.26,2455.13,48.92,79.19,12.33,58.24,9999.0,9999.0
134,2409,友達,電子工業,30.5,3.04,13.32,67.47,13.41,-5.86,-1.33,415400,27.8,29.6,26.91,18.21,69.92,72.0,17.96,57.86,9999.0,9999.0
135,2377,微星,電腦及週邊設備業,156.5,2.62,9.1,39.71,8.94,-0.02,-3.01,4735,168.56,152.5,143.45,112.01,0.0,83.96,29.48,56.82,220.9,9999.0
136,2354,鴻準,電子工業,64.5,0.0,10.0,9.17,2.08,58.42,-2.59,26767,68.7,64.5,58.64,59.08,54.29,68.64,16.87,54.86,241.85,314.54
