編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
88,3081,聯亞,通信網路業,2005.0,-4.3,-19.99,70.15,3.75,128.14,114.85,1225,2265.0,2095.0,2506.0,1178.35
89,2460,建通,電子零組件業,34.3,-7.05,-1.29,42.99,-4.86,59.08,53.83,1373,45.95,36.9,34.75,23.99
90,3048,益登,電子通路業,60.0,0.84,4.47,43.76,-9.23,60.1,25.56,-4539,73.84,59.5,57.43,41.74
91,2451,創見,電子工業,253.5,1.4,-11.25,30.89,-19.53,381.55,399.5,-16378,273.58,250.0,285.64,193.68
92,2465,麗臺,電子工業,89.5,9.95,15.1,39.39,33.16,543.89,76.21,1304,79.0,81.4,77.76,64.21
93,2455,全新,電子工業,330.5,-1.34,-9.41,52.45,1.62,23.55,27.74,5064,407.23,335.0,364.82,216.8
94,3229,晟鈦,電子零組件業,38.75,2.92,-7.18,59.93,8.03,99.09,57.25,-180,43.7,37.65,41.75,24.23
95,3060,銘異,電腦及週邊設備業,37.15,3.77,18.37,32.4,12.01,48.98,15.2,10872,46.4,35.8,31.39,28.06
96,3049,精金,光電業,12.65,0.4,-4.9,35.21,0.67,-72.74,-34.21,-2743,16.4,12.6,13.3,9.36
97,2351,順德,電子工業,200.0,-1.72,8.75,83.9,4.97,45.08,19.68,2317,232.0,203.5,183.91,108.75
98,2369,菱生,半導體業,42.5,-0.47,22.45,67.5,-2.18,36.52,37.22,13453,47.0,42.7,34.71,25.37
