編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240
129,1560,中砂,電機機械,698.0,-1.27,0.75,44.1,6.41,26.56,22.73,44,778.0,707.0,692.8,484.38
130,2408,南亞科,電子工業,517.0,7.48,21.8,109.25,49.27,719.61,642.02,124661,623.0,481.0,424.46,247.07
131,1590,亞德客-KY,電機機械,1420.0,-2.41,4.17,29.84,2.09,50.78,31.19,-773,1851.55,1455.0,1363.19,1093.64
132,2395,研華,電子工業,673.0,-3.03,24.35,78.13,11.35,87.58,36.97,3656,785.0,694.0,541.2,377.81
133,3450,聯鈞,半導體業,553.0,-2.47,12.17,66.75,7.02,98.0,16.98,10510,593.0,567.0,492.99,331.63
134,8422,可寧衛*,綠能環保,27.1,1.5,1.39,2.45,-5.85,59.87,20.66,17695,26.8,26.7,26.73,26.45
135,5904,寶雅,居家生活類,75.9,-2.69,14.61,49.93,10.07,19.22,12.88,-54379,92.9,78.0,66.22,50.62
136,2727,王品,觀光餐旅,237.0,1.28,4.33,11.78,2.48,15.19,11.85,3637,253.5,234.0,227.17,212.02
137,3231,緯創,電腦及週邊設備業,180.0,-1.1,9.74,28.83,-4.23,60.76,92.88,168940,228.0,182.0,164.03,139.72
138,3006,晶豪科,電子工業,250.5,2.04,9.76,64.36,40.02,491.06,259.85,18239,341.0,245.5,228.22,152.4
139,3264,欣銓,半導體業,208.5,0.97,-3.95,38.65,13.83,52.26,30.87,1267,241.5,206.5,217.07,150.38
140,3167,大量,電機機械,762.0,9.96,1.07,75.78,10.17,152.87,123.37,-1300,730.0,693.0,753.94,433.49
